t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,180.0,45.0,5.0,0.1,0.0,30.0,391.4,1.0,8.104205031292664e-08,16.444399714969315,-88.56176868675901
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,180.0,45.0,5.0,0.1,0.0,30.0,391.4,2.0,8.104205031292664e-08,16.444399714969315,-88.56176868675901
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,180.0,45.0,5.0,0.1,0.0,30.0,391.4,5.0,8.104205031292664e-08,16.444399714969315,-88.56176868675901
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,180.0,45.0,5.0,0.1,0.0,30.0,391.4,10.0,8.104205031292664e-08,16.444399714969315,-88.56176868675901
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,180.0,45.0,5.0,0.1,0.0,30.0,391.4,20.0,8.104205031292664e-08,16.444399714969315,-88.56176868675901
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,180.0,45.0,5.0,0.1,0.0,30.0,391.4,45.0,8.104205031292664e-08,16.444399714969315,-88.56176868675901
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,180.0,45.0,5.0,0.1,0.0,30.0,391.4,90.0,8.104205031292664e-08,16.444399714969315,-88.56176868675901
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,0.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,1.1351931847911311e-07,5.519365780738686,-83.60178564538246
0,10.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,1.1677257242440712e-07,8.214683509000874,44.50104946236292
0,20.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,1.0609523082216148e-07,16.68262645176745,24.320008093217226
0,29.999999999999996,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.736561206261374e-08,28.49195350531189,15.67498985022908
0,40.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,8.545018805234717e-08,42.62040337633697,10.86569385537184
0,50.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,7.649729773180796e-08,57.971345875533046,7.686159238709301
0,59.99999999999999,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.877567062727458e-08,72.97878713514571,5.318393834859265
0,70.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.379456092596701e-08,82.27440674485203,3.3890564051305154
0,80.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.324619110026104e-08,81.98863593420948,1.6964977435890294
0,90.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.862161940822051e-08,71.70458561579709,0.11203096080087059
0,100.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,8.104454788849322e-08,54.81144886808503,-1.4642524548163725
0,110.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.931422522841401e-08,37.71252097767149,-3.1300743075747723
0,119.99999999999999,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.662401224434474e-08,28.967012933555754,-5.006291019841402
0,130.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.547139395048425e-08,20.831777867337212,-7.275905949683737
0,140.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.525065607315659e-08,13.815628992608953,-10.267160886448274
0,150.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.551327626817803e-08,8.200085161287339,-14.67376214998232
0,160.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.593283614857707e-08,4.112270858366732,-22.27835799968185
0,170.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.628476277088336e-08,1.593693776173567,-38.96759330414702
0,180.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.643491403857418e-08,0.6498465711761695,-83.66437413217301
0,190.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.633371653066062e-08,1.279013731278259,44.78847219267972
0,200.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.60141764190974e-08,3.4825634785831605,24.54615966874516
0,210.00000000000003,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.559319324896392e-08,7.258120980793261,15.844690074430043
0,220.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.527655330012792e-08,12.574661799224618,11.00176024232466
0,230.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.536903280995327e-08,19.327168507185704,7.801716513301284
0,239.99999999999997,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.629251741514339e-08,27.271092102105072,5.421112447083037
0,250.00000000000003,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.861745530294423e-08,35.947993357705194,3.4838589466580983
0,260.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,8.04151133257612e-08,52.73760460235082,1.7869016089339502
0,270.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.7865792278886e-08,69.84403665204002,0.20086877585871163
0,280.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.210758459418316e-08,81.19858254720039,-1.3743754686672
0,290.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.205283594943057e-08,83.07981120069324,-3.0364029872302987
0,300.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,6.627464527478283e-08,75.17174610255371,-4.905490594382047
0,310.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,7.320748511272465e-08,60.694774384905514,-7.163414796432007
0,320.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,8.161392030452159e-08,45.432097455518175,-10.136016281121659
0,330.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,9.302484298002354e-08,30.72908390843297,-14.512247213480943
0,340.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,1.0183389689055417e-07,18.152817782293656,-22.06579957384734
0,350.0,10.0,5.0,0.1,0.0,30.0,391.4,1.0,1.1331864040373852e-07,8.977825402704186,-38.68506353560161
0,0.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,1.0440007573683744e-07,13.925154706512904,-86.9240744327946
0,10.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,1.0221658567966837e-07,16.47510147863255,64.00560402408999
0,20.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.376014185847273e-08,22.869104078330178,43.32690589752202
0,29.999999999999996,20.0,5.0,0.1,0.0,30.0,391.4,1.0,8.677814842253691e-08,33.533109668493005,30.362194232734232
0,40.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,7.95372380382663e-08,47.457472627597305,21.84407524376073
0,50.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,7.267944308296013e-08,61.969667037635,15.749983341318583
0,59.99999999999999,20.0,5.0,0.1,0.0,30.0,391.4,1.0,6.44363694321379e-08,75.2120432833246,11.020706319538663
0,70.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,6.058341877608253e-08,83.49928091356287,7.078699112494173
0,80.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,6.045287898864731e-08,82.79645643779484,3.5779381678538824
0,90.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,6.554790292039118e-08,72.75601360378293,0.2830761637578422
0,100.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,7.62435634437781e-08,56.63017980774609,-2.9947688755943824
0,110.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.39748352667006e-08,39.35789892858842,-6.440677144778759
0,119.99999999999999,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.165809894643928e-08,30.80459037009942,-10.27686978023918
0,130.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.070253677081851e-08,22.82668746355845,-14.820528361042104
0,140.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.057321590949905e-08,15.926617972947055,-20.588909393431024
0,150.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.086800882025127e-08,10.389675148318256,-28.5142231242489
0,160.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.12910946590138e-08,6.350622310437449,-40.37134396251221
0,170.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.163744958029889e-08,3.858412427452513,-59.219162336690005
0,180.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.178404354884839e-08,2.9237094061490883,-86.93803955137352
0,190.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.168530539129396e-08,3.5468260586424236,64.10963002121416
0,200.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.13715827673784e-08,5.727773598483004,43.464805307914254
0,210.00000000000003,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.095015939798487e-08,9.459591387165757,30.492601480660905
0,220.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.06091190119006e-08,14.704147754085445,21.96039198320418
0,230.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.062514409827023e-08,21.348574094942183,15.854297422176368
0,239.99999999999997,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.137741442635969e-08,29.143335072594017,11.116251809654294
0,250.00000000000003,20.0,5.0,0.1,0.0,30.0,391.4,1.0,9.337144002160089e-08,37.633768495880794,7.1683805924114585
0,260.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,7.571301114821159e-08,54.59916641651489,3.664216691516902
0,270.0,20.0,5.0,0.1,0.0,30.0,391.4,1.0,6.48822010788495e-08,70.95074320383763,0.36811890042915013
