t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,60.0,0.0,100.0,391.4,0.0,2.457528959856913e-10,0.0,0.0,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,70.0,0.0,100.0,391.4,0.0,1.745806822352232e-10,0.0,0.0,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,80.0,0.0,100.0,391.4,0.0,1.2110544170272034e-10,0.0,0.0,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,90.0,0.0,100.0,391.4,0.0,8.530181425392973e-11,0.0,0.0,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,60.0,0.0,100.0,391.4,0.017453292519943295,1.2973927019649935e-10,1.2014866030588965e-05,89.999999999929,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,70.0,0.0,100.0,391.4,0.017453292519943295,1.2922526769457877e-10,0.0014331822022151364,-89.99999999983082,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,80.0,0.0,100.0,391.4,0.017453292519943295,1.252076764746469e-10,5.796628010426551e-06,-89.99999999977454,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,90.0,0.0,100.0,391.4,0.017453292519943295,1.2876160822056893e-10,3.7836223338401505e-06,89.99999999965449,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,25.0,0.0,100.0,391.4,0.0,2.0955166581651106e-10,0.0,0.0,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,30.0,0.0,100.0,391.4,0.0,2.9538017614193687e-10,0.0,0.0,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,35.0,0.0,100.0,391.4,0.0,3.5086336196859255e-10,0.0,0.0,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,25.0,0.0,100.0,391.4,0.017453292519943295,2.1887375578371888e-10,3.925127141792687e-05,89.99999999992124,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,30.0,0.0,100.0,391.4,0.017453292519943295,1.3161323031649214e-10,0.0072130334152391735,1.9651083000301585e-13,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,35.0,0.0,100.0,391.4,0.017453292519943295,1.3132199280209792e-10,0.006061233027960813,-2.110182673288095e-11,0.0
t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (rad), I0, DoLP (%), AoRD (°), Direct I0:
0,180.0,45.0,None,20.0,0.0,100.0,391.4,0.0,1.47148436560058e-10,0.0,0.0,0.0
